objeto,distancia_mpc,velocidade_km_s,mt
S. Mag.,0.032,170,1.5
L. Mag.,0.034,290,0.5
NGC 6822,,-130,9.0
NGC 598,0.263,-70,7.0
NGC 221,0.275,-185,8.8
NGC 224,0.275,-220,5.0
NGC 5457,0.45,200,9.9
NGC 4736,0.5,290,8.4
NGC 5194,0.5,270,7.4
NGC 4449,0.63,200,9.5
NGC 4214,0.8,300,11.3
NGC 3031,0.9,-30,8.3
NGC 3627,0.9,650,9.1
NGC 4826,0.9,150,9.0
NGC 5236,0.9,500,10.4
NGC 1068,1.0,920,9.1
NGC 5055,1.1,450,9.6
NGC 7331,1.1,500,10.4
NGC 4258,1.4,500,8.7
NGC 4151,1.7,960,12.0
NGC 4382,2.0,500,10.0
NGC 4472,2.0,850,8.8
NGC 4486,2.0,800,9.7
NGC 4649,2.0,1090,9.5
