pl_name,pl_rade,pl_bmasse,pl_orbper,st_teff
"WASP-133 b",14.18483905,,2.17648746975,5646.00
"TOI-4010 b",3.02000000,11.00000000,1.34833500000,4960.00
"Kepler-314 c",2.75000000,,5.96040108000,5421.00
"TOI-2384 b",11.48920522,624.85064816,2.13570304000,3943.00
"K2-321 b",1.95000000,,2.29800000000,3855.00
"HAT-P-28 b",13.58500000,198.95300000,3.25721500000,5680.00
"TOI-2427 b",1.99844000,,1.30613000000,4072.00
"KELT-23 A b",14.68800000,,2.25528450000,5787.00
"K2-132 b",6.86473931,,9.17386600000,5035.00
"Qatar-9 b",13.36740000,,1.54077600000,4234.00
"TOI-3894 b",15.22179579,270.15414595,4.33454010000,6000.00
"K2-199 b",1.88203097,,3.22542300000,4681.00
"Kepler-293 b",2.89000000,,19.25405306000,5547.00
"Kepler-395 b",0.78000000,,7.05427318000,3735.00
"Kepler-703 b",5.40000000,,4.58351840000,5796.00
"Kepler-1644 b",1.80000000,,21.09077580000,5722.00
"Kepler-50 b",1.56000000,,7.81285840000,6280.00
"Kepler-325 d",2.62000000,,38.71496170000,5445.00
"K2-5 b",2.40000000,,5.73484620000,4088.00
"KOI-1257 b",10.54000000,460.83000000,86.64766100000,5520.00
"Kepler-82 e",2.30000000,,5.90220900000,5700.00
"Kepler-1369 b",2.90000000,,25.87333000000,5987.00
"Kepler-697 b",3.96000000,,3.70987064500,5576.00
"Kepler-1466 b",1.38000000,,31.17504480000,6086.00
"Kepler-634 b",1.89000000,,5.16950177000,6075.00
"Kepler-1889 b",2.59000000,,37.30376190000,5641.00
"KOI-1257 b",7.62000000,,86.64763676000,5321.00
"Kepler-1668 b",4.30000000,,15.43400996000,5900.00
"Kepler-1772 b",2.69000000,,3.21510633700,5779.00
"Kepler-511 c",3.68000000,,26.62946276000,5837.00
"Kepler-684 b",3.36000000,,6.77030200800,5493.00
"Kepler-393 b",1.29000000,,9.18241700000,6189.00
"Kepler-202 b",1.53000000,,4.06942563800,4671.00
"HD 63454 b",12.31000000,126.00000000,2.81804900000,4840.00
"Kepler-908 b",1.07000000,,1.34059746800,5977.00
"Kepler-60 d",1.76000000,,11.89849320000,6200.00
"Kepler-116 b",3.43000000,,5.96871746900,6187.00
"Kepler-181 b",1.37100000,,3.13784882900,5120.00
"Kepler-188 b",1.84000000,,2.06187000000,6008.00
"K2-230 b",1.93420564,,2.86063600000,6002.00
"Kepler-1077 b",2.64000000,,34.35118740000,6091.00
"Kepler-1800 b",0.85200000,,4.56204856000,5330.00
"Kepler-1005 b",1.52000000,,6.49801525000,5718.00
"Kepler-1890 b",0.84000000,,4.82052932000,6483.00
"K2-139 b",9.26802368,,28.38207100000,5425.00
"Kepler-1892 b",1.48000000,,6.33127840000,5376.00
"Kepler-1586 b",1.95000000,,15.60492120000,6245.00
"Kepler-183 b",2.19000000,,5.68798310000,5888.00
"Kepler-132 b",1.22000000,,6.17816500000,5925.00
"Kepler-1722 b",2.20000000,,9.17847500000,5506.00
"Kepler-209 b",2.29000000,,16.08786478000,5562.00
"Kepler-690 b",5.95000000,,7.74809437400,5913.00
"Kepler-280 c",1.84000000,,4.80709958800,5741.00
"K2-21 c",1.53000000,,15.50116000000,4006.00
"Kepler-301 c",1.38000000,,5.41908491000,5814.00
"Kepler-1509 b",1.91000000,,25.43381970000,6077.00
"Kepler-568 b",2.11000000,,11.02347475000,3744.00
"Kepler-99 b",1.81200000,,4.60357804200,4852.00
"Kepler-85 c",2.14000000,20.90000000,12.51300000000,
"TOI-1248 b",6.80848590,27.40000000,4.36015610000,5205.00
"Kepler-1898 b",0.93353523,,4.76562023200,5702.00
"Kepler-1272 b",2.41000000,,51.13097040000,6071.00
"Kepler-675 b",2.38000000,,2.33743801000,4989.00
"K2-240 b",2.00000000,,6.03400000000,3810.00
"Kepler-1536 b",2.98000000,,364.75803100000,4386.00
"Kepler-1248 b",1.04000000,,7.46718958000,6161.00
"Kepler-1886 b",2.58158428,,24.27580070000,5745.00
"Kepler-392 b",1.20000000,,5.34178800000,6482.00
"Kepler-132 b",1.22000000,,6.17817366000,5931.00
"Kepler-1807 b",2.14000000,,10.86060638000,6455.00
"Kepler-524 c",1.03000000,,1.88897906000,6049.00
"Kepler-1146 b",1.35000000,,2.35226579700,4816.00
"Kepler-79 b",2.73000000,,13.48458665000,6388.00
"Kepler-223 e",48.78500000,,19.72408910000,5697.00
"Kepler-280 c",2.04000000,,4.80709958800,5657.00
"Kepler-1218 b",1.36000000,,22.92212660000,5897.00
"Kepler-1630 b",2.62000000,,509.99740200000,5037.00
"Kepler-1828 b",1.74000000,,10.27377201000,5718.00
"Kepler-1347 b",0.99000000,,14.00947528000,5153.00
"Kepler-32 b",2.25000000,9.40000000,5.90100000000,
"K2-24 c",7.50000000,15.40000000,42.33910000000,5625.00
"Kepler-1576 b",1.04000000,,6.98471973000,5876.00
"Kepler-55 e",1.55000000,,4.61753400000,4503.00
"Kepler-1748 b",3.30000000,,5.82344500000,5542.00
"Kepler-745 b",1.92000000,,9.93143556000,5880.00
"Kepler-32 d",2.50000000,,22.78076945000,3903.00
"Kepler-149 c",1.66000000,,55.32858130000,5529.00
"K2-203 b",1.37000000,,9.68970000000,
"Kepler-60 d",1.76000000,,11.89849320000,6200.00
"Kepler-248 c",4.14000000,,16.23947096000,5191.00
"Kepler-1438 b",0.88000000,,2.31942600000,5529.00
"Kepler-105 c",1.91000000,,7.12596700000,6398.00
"Kepler-716 c",1.78000000,,3.96996298000,5121.00
"Kepler-259 c",2.71000000,,36.92495310000,5926.00
"Kepler-415 b",1.61000000,,4.17634525000,4523.00
"Kepler-1470 b",1.15000000,,16.29512590000,4915.00
"Kepler-31 d",3.90000000,2161.24400000,87.64510000000,6340.00
"Kepler-1825 b",1.35000000,,1.02585770300,5035.00
"Kepler-431 c",0.72000000,,8.70312154000,6006.00
"Kepler-534 c",1.06000000,,7.37862283000,5936.00
"Kepler-147 b",1.33000000,,12.61196850000,6007.00
"Kepler-562 b",5.12000000,,18.00931443600,5815.00
"Kepler-607 c",2.76001201,,39.67679977000,5244.00
"Kepler-351 b",2.74000000,,37.05485690000,5646.00
"Kepler-1284 b",1.21000000,,0.66407380600,5123.00
"Kepler-1728 b",2.50000000,,4.78300269800,5170.00
"Kepler-877 b",2.30000000,,18.45847097000,5413.00
"Kepler-400 b",1.76000000,,9.02439100000,6062.00
"Kepler-18 d",6.63000000,15.70000000,14.85900000000,
"Kepler-271 d",0.71000000,,5.24972541000,5516.00
"Kepler-1335 b",1.61000000,,6.26406846000,5032.00
"Kepler-460 c",6.10000000,,220.13033570000,6340.00
"Kepler-263 b",2.67000000,,16.56808700000,5265.00
"Kepler-1026 b",2.21000000,,36.51560530000,4948.00
"Kepler-594 b",2.18000000,,13.64618192000,5485.00
"Kepler-705 b",2.76000000,,56.05623000000,3674.00
"Kepler-371 b",1.89000000,,34.76327800000,5666.00
"Kepler-462 b",5.04405000,,84.69000000000,7717.00
"Kepler-257 c",4.56000000,,6.58147713600,5188.00
"Kepler-1569 b",1.25000000,,5.79180156000,6185.00
"Kepler-787 b",1.47000000,,0.92831049800,4894.00
"Kepler-1136 b",1.37000000,,2.36171800000,4485.00
"Kepler-340 c",3.37000000,,22.82466900000,6620.00
"Kepler-1030 b",2.52000000,,19.32952416000,5023.00
